id,name,position,overall,nation,list_positon
173731,Gareth Frank Bale,"RM, RW",82,Wales,RM
216627,Kieffer Roberto Francisco Moore,ST,74,Wales,ST
229266,Joe Rodon,CB,72,Wales,CB
184716,Joseph Michael Allen,"CM, CDM",70,Wales,CM
233201,Christopher James Mepham,CB,72,Wales,CB
237833,Mark Thomas Harris,"ST, LW, RW",62,Wales,ST
0,placeholders,nan,71.16666666666667,Wales,LB
235735,Ethan Ampadu,"CB, CDM, CM",68,Wales,CM
170084,Wayne Robert Hennessey,GK,74,Wales,GK
225147,Connor Roberts,"RWB, RB",75,Wales,RB
232104,Daniel James,"RM, LM",77,Wales,LM
