id,name,position,overall,nation,list_positon
186153,Wojciech Tomasz Szczęsny,GK,87.0,Poland,GK
199763,Bartosz Bereszyński,RB,73.0,Poland,RB
220570,Jan Bednarek,CB,76.0,Poland,CB
190547,Kamil Jacek Glik,CB,73.0,Poland,CB
235973,Sebastian Szymański,"CAM, RM",71.0,Poland,CAM
205175,Arkadiusz Krystian Milik,ST,81.0,Poland,ST
0,placeholders,,73.58333333333333,Poland,CDM
0,placeholders,,73.58333333333333,Poland,LB
0,placeholders,,73.58333333333333,Poland,CM
0,placeholders,,73.58333333333333,Poland,RW
0,placeholders,,73.58333333333333,Poland,LW
