id,name,position,overall,nation,list_positon
0,placeholders,nan,71.0,Costa Rica,CM
232230,Ronald Alberto Matarrita Ulate,"LB, LM, LWB",71.0,Costa Rica,LB
0,placeholders,nan,71.0,Costa Rica,RB
212772,Óscar Esau Duarte Gaitán,CB,73.0,Costa Rica,CB
0,placeholders,nan,71.0,Costa Rica,GK
0,placeholders,nan,71.0,Costa Rica,CB
0,placeholders,nan,71.0,Costa Rica,CM
0,placeholders,nan,71.0,Costa Rica,LM
204713,Joel Nathaniel Campbell Samuels,"ST, RM",75.0,Costa Rica,ST
0,placeholders,nan,71.0,Costa Rica,RM
0,placeholders,nan,71.0,Costa Rica,ST
