id,name,position,overall,nation,list_positon
158023,Lionel Andrés Messi Cuccittini,"RW, ST, CF",93,Argentina,RW
189332,Jordi Alba Ramos,"LB, LM",86,Spain,LB
190871,Neymar da Silva Santos Júnior,"LW, CAM",91,Brazil,CAM
192985,Kevin De Bruyne,"CM, CAM",91,Belgium,CM
203376,Virgil van Dijk,CB,89,Netherlands,CB
200145,Carlos Henrique Venancio Casimiro,CDM,89,Brazil,CDM
200104,손흥민 孙兴慜,"LM, CF, LW",89,Korea Republic,LW
192448,Marc-André ter Stegen,GK,90,Germany,GK
165153,Karim Benzema,"CF, ST",89,France,ST
210514,João Pedro Cavaco Cancelo,"RB, LB",86,Portugal,RB
239818,Rúben dos Santos Gato Alves Dias,CB,87,Portugal,CB
