id,name,position,overall,nation,list_positon
158023,Lionel Andrés Messi Cuccittini,"RW, ST, CF",93,Argentina,ST
203376,Virgil van Dijk,CB,89,Netherlands,CB
192985,Kevin De Bruyne,"CM, CAM",91,Belgium,CM
210514,João Pedro Cavaco Cancelo,"RB, LB",86,Portugal,RB
192448,Marc-André ter Stegen,GK,90,Germany,GK
209658,Leon Christoph Goretzka,"CM, CDM",87,Germany,CM
200104,손흥민 孙兴慜,"LM, CF, LW",89,Korea Republic,LM
226161,Marcos Llorente Moreno,"CM, RM, ST",86,Spain,RM
165153,Karim Benzema,"CF, ST",89,France,ST
189332,Jordi Alba Ramos,"LB, LM",86,Spain,LB
239818,Rúben dos Santos Gato Alves Dias,CB,87,Portugal,CB
